Ticker,Nome,Tipo,Setor,Preço,Target Price,Upside,Score,Rating,ROE,ROIC,Margem EBITDA,Dív. Líq./EBITDA,P/L,EV/EBITDA,Div. Yield,Cresc. Receita,Vol. Médio,Ret. 3m,Ret. 6m,Score Macro,Score Qualidade,Score Valuation,Score Momentum,Score Governança,Método Val.,NIM,Cost/Income,CET1 Proxy,NPL Proxy,P/BV,Cresc. Carteira,PDD/Lucro,Fonte CET1,Fonte NPL,Dados Ref.,Dados Fonte,P/VP,Spread CDI,Consist. Div.,Tipo FII
PETR3,PETROBRAS   ON      N2,Ação,Petróleo & Gás,43.34,96.39,1.224,61.2,Neutro,0.25601,0.13190780994621526,0.5161500084085431,1.3754289934402015,5.3308735,4.343,0.089986,-0.0944731500253071,11384625.0,-0.11109399400997089,0.33456166860954384,44.7,58.0,76.0,70,75.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
SMFT3,SMART FIT   ON      NM,Ação,outros,18.67,27.17,0.4551,61.0,Neutro,0.12060001,0.06652049936050534,0.5279096299843655,3.2489756628371733,16.81982,8.392,0.059454,0.3519767116201866,5111890.0,0.014640176133642546,-0.2827225694861213,50.0,66.0,71.2,45,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
RENT3,LOCALIZA    ON  ATZ NM,Ação,Transporte & Logística,40.12,71.3,0.7771,61.0,Neutro,0.0853,0.0775173243985369,0.367124724890782,2.8160039726048294,19.381643,9.127,0.052094,0.32939899908526327,9414880.0,-0.09378482947660582,-0.17187717641534073,46.2,67.0,76.0,43,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
SIMH3,SIMPAR      ON      NM,Ação,Transporte & Logística,7.48,,,60.6,Neutro,0.0064499998,0.08865546971712547,0.29131135724685336,4.500765044387716,2.3821654,4.217,0.022727,0.2181310575249078,2707825.0,-0.3083551099642703,-0.47675973832077956,46.2,55.0,100.0,20,100.0,N/A,,,,,,,,,,,,,,,
LAVV3,LAVVI       ON      NM,Ação,Imobiliário & Construção,10.75,17.47,0.6248,60.2,Neutro,0.26556998,0.13955171854959836,0.33641403021917815,0.5034232878076276,5.2955666,7.62,0.094884,0.46927437111547055,528175.0,-0.29830285808479284,-0.3074837662018516,44.7,82.0,76.0,15,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
WIZC3,WIZ CO      ON      NM,Ação,outros,7.66,10.74,0.4021,60.2,Neutro,0.28619,0.3840027778475028,0.38974,,6.3305783,2.648,0.082245,0.1585297986853107,398935.0,-0.12143284436249535,-0.012106476778126485,50.0,77.0,62.8,35,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
CEAB3,CEA MODAS   ON      NM,Ação,outros,9.91,17.77,0.793,60.0,Neutro,0.16788,0.14902132252988057,0.2324342680996192,1.059649811130399,5.2712765,4.375,0.090817,0.08886821988552862,7557775.0,-0.1390095872852265,-0.3333982098070519,50.0,63.0,76.0,35,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
RANI3,IRANI       ON      NM,Ação,outros,7.9,12.29,0.5559,59.7,Neutro,0.14744,0.11432975772887279,0.4549255742268182,1.462672033745858,8.586956,5.979,0.011392,-7.016305323614969e-05,661650.0,-0.10899965419454483,-0.07810568605793178,50.0,63.0,76.0,33,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
CSED3,CRUZEIRO EDUON      NM,Ação,outros,3.61,7.19,0.9913,59.5,Neutro,0.16947001,0.1173427003500804,0.3350851002614781,1.7960221515357815,4.813333,4.338,0.135734,0.11823387214723513,656195.0,-0.3879236013582764,-0.38437591074444255,50.0,73.0,76.0,15,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
SAPR11,SANEPAR     UNT     N2,Ação,Saneamento,36.85,57.38,0.557,59.3,Neutro,0.098979995,0.007320514620412455,0.48950119814419835,0.5078186397642104,45.55006,4.735,0.029851,0.08294191723898847,1440635.0,-0.0952615053209549,-0.051442145813283324,46.9,67.0,71.2,38,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
